Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220	33	-34	-1.0	34	2220
34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235	34	-15	-1.0	15	2235
35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253	35	-18	-1.0	18	2253
36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269	36	-16	-1.0	16	2269
37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295	37	-26	-1.0	26	2295
38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325	38	-30	-1.0	30	2325
39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354	39	-29	-1.0	29	2354
40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371	40	-17	-1.0	17	2371
41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411	41	-40	-1.0	40	2411
42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435	42	-24	-1.0	24	2435
