Episode	Accumulated Reward	Average Reward	Length	Steps
659	-100	-50.0	2	17893
660	-100	-50.0	2	17895
661	-100	-50.0	2	17897
662	-61	-0.953125	64	17961
663	-100	-50.0	2	17963
664	-189	-2.076923076923077	91	18054
665	-127	-4.379310344827586	29	18083
666	-101	-33.666666666666664	3	18086
667	-165	-2.462686567164179	67	18153
668	-100	-50.0	2	18155
669	-124	-4.769230769230769	26	18181
670	-260	-0.9885931558935361	263	18444
671	-65	-0.38461538461538464	169	18613
672	-100	-50.0	2	18615
673	-115	-0.9745762711864406	118	18733
674	-123	-4.92	25	18758
675	-133	-3.8	35	18793
676	-101	-33.666666666666664	3	18796
677	-85	-0.9659090909090909	88	18884
678	-125	-4.62962962962963	27	18911
679	-100	-50.0	2	18913
680	-126	-4.5	28	18941
681	-100	-50.0	2	18943
682	-101	-33.666666666666664	3	18946
683	73	2.3548387096774195	31	18977
684	-120	-5.454545454545454	22	18999
685	-100	-50.0	2	19001
686	-148	-2.96	50	19051
687	39	0.6	65	19116
688	-76	-0.9620253164556962	79	19195
689	-46	-0.9387755102040817	49	19244
690	-100	-50.0	2	19246
691	33	0.4647887323943662	71	19317
692	-48	-0.9411764705882353	51	19368
693	-115	-6.764705882352941	17	19385
694	-109	-9.909090909090908	11	19396
695	-147	-3.0	49	19445
696	-104	-17.333333333333332	6	19451
697	-100	-50.0	2	19453
698	26	0.3333333333333333	78	19531
699	-113	-7.533333333333333	15	19546
700	-102	-25.5	4	19550
701	-49	-0.9423076923076923	52	19602
702	-100	-50.0	2	19604
703	-69	-0.9583333333333334	72	19676
704	-100	-50.0	2	19678
705	-75	-0.9615384615384616	78	19756
706	-100	-50.0	2	19758
707	-105	-15.0	7	19765
708	-100	-50.0	2	19767
709	-34	-0.2463768115942029	138	19905
710	-100	-50.0	2	19907
711	-47	-0.94	50	19957
712	-123	-4.92	25	19982
713	-100	-50.0	2	19984
714	-100	-50.0	2	19986
715	-80	-0.43478260869565216	184	20170
716	-127	-4.379310344827586	29	20199
717	-126	-4.5	28	20227
718	-107	-11.88888888888889	9	20236
719	-126	-4.5	28	20264
720	-121	-5.260869565217392	23	20287
721	-92	-0.968421052631579	95	20382
722	-100	-50.0	2	20384
723	-127	-4.379310344827586	29	20413
724	-106	-13.25	8	20421
725	-100	-50.0	2	20423
726	-33	-0.9166666666666666	36	20459
727	-76	-0.9620253164556962	79	20538
728	-100	-50.0	2	20540
729	89	0.7672413793103449	116	20656
730	-100	-50.0	2	20658
731	-108	-10.8	10	20668
732	-124	-4.769230769230769	26	20694
733	-117	-6.157894736842105	19	20713
734	14	0.15555555555555556	90	20803
735	-103	-20.6	5	20808
736	-100	-50.0	2	20810
737	-159	-2.6065573770491803	61	20871
738	-100	-50.0	2	20873
739	-17	-0.85	20	20893
740	-100	-50.0	2	20895
741	-135	-3.6486486486486487	37	20932
742	-107	-11.88888888888889	9	20941
743	-125	-4.62962962962963	27	20968
744	-17	-0.14049586776859505	121	21089
745	-119	-5.666666666666667	21	21110
746	-100	-50.0	2	21112
747	-100	-50.0	2	21114
748	66	1.736842105263158	38	21152
749	-105	-15.0	7	21159
750	29	0.38666666666666666	75	21234
751	-100	-50.0	2	21236
752	-100	-50.0	2	21238
753	-135	-3.6486486486486487	37	21275
754	-100	-50.0	2	21277
755	-108	-10.8	10	21287
756	-105	-15.0	7	21294
757	-111	-8.538461538461538	13	21307
758	-100	-50.0	2	21309
759	-100	-50.0	2	21311
760	-120	-5.454545454545454	22	21333
761	-108	-10.8	10	21343
762	-87	-0.9666666666666667	90	21433
763	-119	-5.666666666666667	21	21454
764	-119	-5.666666666666667	21	21475
765	-163	-2.5076923076923077	65	21540
766	-103	-20.6	5	21545
767	-132	-3.8823529411764706	34	21579
768	21	0.25301204819277107	83	21662
769	-100	-50.0	2	21664
770	-146	-3.0416666666666665	48	21712
771	-73	-0.4124293785310734	177	21889
772	-136	-3.5789473684210527	38	21927
773	-124	-4.769230769230769	26	21953
