Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554	33	-13	-1.0	13	554
34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567	34	-13	-1.0	13	567
35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582	35	-15	-1.0	15	582
36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595	36	-13	-1.0	13	595
37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610	37	-15	-1.0	15	610
38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625	38	-15	-1.0	15	625
39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640	39	-15	-1.0	15	640
40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653	40	-13	-1.0	13	653
41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666	41	-13	-1.0	13	666
42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679	42	-13	-1.0	13	679
