Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
206	-115	-6.764705882352941	17	3671	206	-115	-6.764705882352941	17	3671	206	-115	-6.764705882352941	17	3671
207	-102	-25.5	4	3675	207	-102	-25.5	4	3675	207	-102	-25.5	4	3675
208	-101	-33.666666666666664	3	3678	208	-101	-33.666666666666664	3	3678	208	-101	-33.666666666666664	3	3678
209	-100	-50.0	2	3680	209	-100	-50.0	2	3680	209	-100	-50.0	2	3680
210	-107	-11.88888888888889	9	3689	210	-107	-11.88888888888889	9	3689	210	-107	-11.88888888888889	9	3689
211	-113	-7.533333333333333	15	3704	211	-113	-7.533333333333333	15	3704	211	-113	-7.533333333333333	15	3704
212	-101	-33.666666666666664	3	3707	212	-101	-33.666666666666664	3	3707	212	-101	-33.666666666666664	3	3707
213	-128	-4.266666666666667	30	3737	213	-128	-4.266666666666667	30	3737	213	-128	-4.266666666666667	30	3737
214	-100	-50.0	2	3739	214	-100	-50.0	2	3739	214	-100	-50.0	2	3739
215	-154	-2.75	56	3795	215	-154	-2.75	56	3795	215	-154	-2.75	56	3795
216	-113	-7.533333333333333	15	3810	216	-113	-7.533333333333333	15	3810	216	-113	-7.533333333333333	15	3810
217	-135	-3.6486486486486487	37	3847	217	-135	-3.6486486486486487	37	3847	217	-135	-3.6486486486486487	37	3847
218	-118	-5.9	20	3867	218	-118	-5.9	20	3867	218	-118	-5.9	20	3867
219	-128	-4.266666666666667	30	3897	219	-128	-4.266666666666667	30	3897	219	-128	-4.266666666666667	30	3897
220	-101	-33.666666666666664	3	3900	220	-101	-33.666666666666664	3	3900	220	-101	-33.666666666666664	3	3900
221	-100	-50.0	2	3902	221	-100	-50.0	2	3902	221	-100	-50.0	2	3902
222	-118	-5.9	20	3922	222	-118	-5.9	20	3922	222	-118	-5.9	20	3922
223	-106	-13.25	8	3930	223	-106	-13.25	8	3930	223	-106	-13.25	8	3930
224	-100	-50.0	2	3932	224	-100	-50.0	2	3932	224	-100	-50.0	2	3932
225	-108	-10.8	10	3942	225	-108	-10.8	10	3942	225	-108	-10.8	10	3942
226	-100	-50.0	2	3944	226	-100	-50.0	2	3944	226	-100	-50.0	2	3944
227	-100	-50.0	2	3946	227	-100	-50.0	2	3946	227	-100	-50.0	2	3946
228	-110	-9.166666666666666	12	3958	228	-110	-9.166666666666666	12	3958	228	-110	-9.166666666666666	12	3958
229	-107	-11.88888888888889	9	3967	229	-107	-11.88888888888889	9	3967	229	-107	-11.88888888888889	9	3967
230	-115	-6.764705882352941	17	3984	230	-115	-6.764705882352941	17	3984	230	-115	-6.764705882352941	17	3984
231	-115	-6.764705882352941	17	4001	231	-115	-6.764705882352941	17	4001	231	-115	-6.764705882352941	17	4001
232	-128	-4.266666666666667	30	4031	232	-128	-4.266666666666667	30	4031	232	-128	-4.266666666666667	30	4031
233	-101	-33.666666666666664	3	4034	233	-101	-33.666666666666664	3	4034	233	-101	-33.666666666666664	3	4034
234	-126	-4.5	28	4062	234	-126	-4.5	28	4062	234	-126	-4.5	28	4062
235	-100	-50.0	2	4064	235	-100	-50.0	2	4064	235	-100	-50.0	2	4064
236	-100	-50.0	2	4066	236	-100	-50.0	2	4066	236	-100	-50.0	2	4066
237	-113	-7.533333333333333	15	4081	237	-113	-7.533333333333333	15	4081	237	-113	-7.533333333333333	15	4081
238	-23	-0.8846153846153846	26	4107	238	-23	-0.8846153846153846	26	4107	238	-23	-0.8846153846153846	26	4107
239	-111	-8.538461538461538	13	4120	239	-111	-8.538461538461538	13	4120	239	-111	-8.538461538461538	13	4120
240	-100	-50.0	2	4122	240	-100	-50.0	2	4122	240	-100	-50.0	2	4122
241	-123	-4.92	25	4147	241	-123	-4.92	25	4147	241	-123	-4.92	25	4147
242	-102	-25.5	4	4151	242	-102	-25.5	4	4151	242	-102	-25.5	4	4151
243	-100	-50.0	2	4153	243	-100	-50.0	2	4153	243	-100	-50.0	2	4153
244	-100	-50.0	2	4155	244	-100	-50.0	2	4155	244	-100	-50.0	2	4155
245	-15	-0.8333333333333334	18	4173	245	-15	-0.8333333333333334	18	4173	245	-15	-0.8333333333333334	18	4173
246	-100	-50.0	2	4175	246	-100	-50.0	2	4175	246	-100	-50.0	2	4175
247	-11	-0.7857142857142857	14	4189	247	-11	-0.7857142857142857	14	4189	247	-11	-0.7857142857142857	14	4189
248	-102	-25.5	4	4193	248	-102	-25.5	4	4193	248	-102	-25.5	4	4193
249	-109	-9.909090909090908	11	4204	249	-109	-9.909090909090908	11	4204	249	-109	-9.909090909090908	11	4204
250	-100	-50.0	2	4206	250	-100	-50.0	2	4206	250	-100	-50.0	2	4206
251	-158	-2.6333333333333333	60	4266	251	-158	-2.6333333333333333	60	4266	251	-158	-2.6333333333333333	60	4266
