Episode	Accumulated Reward	Average Reward	Length	Steps
321	-104	-17.333333333333332	6	5983
322	-116	-6.444444444444445	18	6001
323	-120	-5.454545454545454	22	6023
324	-2	-0.4	5	6028
325	-126	-4.5	28	6056
326	-100	-50.0	2	6058
327	-106	-13.25	8	6066
328	-107	-11.88888888888889	9	6075
329	-100	-50.0	2	6077
330	-100	-50.0	2	6079
331	-107	-11.88888888888889	9	6088
332	-133	-3.8	35	6123
333	-104	-17.333333333333332	6	6129
334	-127	-4.379310344827586	29	6158
335	-100	-50.0	2	6160
336	-100	-50.0	2	6162
337	-100	-50.0	2	6164
338	-113	-7.533333333333333	15	6179
339	-100	-50.0	2	6181
340	-100	-50.0	2	6183
341	-119	-5.666666666666667	21	6204
342	-160	-2.5806451612903225	62	6266
343	-119	-5.666666666666667	21	6287
344	-127	-4.379310344827586	29	6316
345	-100	-50.0	2	6318
346	-102	-25.5	4	6322
347	-102	-25.5	4	6326
348	-102	-25.5	4	6330
349	-100	-50.0	2	6332
350	-100	-50.0	2	6334
351	-86	-0.9662921348314607	89	6423
352	-100	-50.0	2	6425
353	-107	-11.88888888888889	9	6434
354	-124	-4.769230769230769	26	6460
355	-100	-50.0	2	6462
356	-119	-5.666666666666667	21	6483
357	-100	-50.0	2	6485
358	72	2.25	32	6517
359	-103	-20.6	5	6522
360	-114	-7.125	16	6538
361	-156	-2.689655172413793	58	6596
362	-123	-4.92	25	6621
363	-112	-8.0	14	6635
364	36	0.5294117647058824	68	6703
365	-5	-0.625	8	6711
366	-105	-15.0	7	6718
367	-103	-20.6	5	6723
368	-103	-20.6	5	6728
369	-103	-20.6	5	6733
370	-100	-50.0	2	6735
371	-100	-50.0	2	6737
372	-119	-5.666666666666667	21	6758
373	-100	-50.0	2	6760
374	-100	-50.0	2	6762
375	-100	-50.0	2	6764
376	-112	-8.0	14	6778
377	-100	-50.0	2	6780
378	-100	-50.0	2	6782
379	-20	-0.8695652173913043	23	6805
380	-102	-25.5	4	6809
381	-114	-7.125	16	6825
382	-105	-15.0	7	6832
383	-100	-50.0	2	6834
384	-106	-13.25	8	6842
385	-113	-7.533333333333333	15	6857
386	-53	-0.9464285714285714	56	6913
387	-130	-4.0625	32	6945
388	-152	-2.814814814814815	54	6999
389	-100	-50.0	2	7001
390	-146	-3.0416666666666665	48	7049
391	-115	-6.764705882352941	17	7066
392	-110	-9.166666666666666	12	7078
393	-100	-50.0	2	7080
394	-101	-33.666666666666664	3	7083
395	-114	-7.125	16	7099
396	-100	-50.0	2	7101
397	-120	-5.454545454545454	22	7123
398	-100	-50.0	2	7125
399	-100	-50.0	2	7127
400	-100	-50.0	2	7129
401	-100	-50.0	2	7131
402	-1	-0.25	4	7135
403	-100	-50.0	2	7137
404	-100	-50.0	2	7139
405	-111	-8.538461538461538	13	7152
406	-12	-0.8	15	7167
407	-100	-50.0	2	7169
408	-100	-50.0	2	7171
409	-121	-5.260869565217392	23	7194
410	-100	-50.0	2	7196
411	-102	-25.5	4	7200
412	-100	-50.0	2	7202
413	-100	-50.0	2	7204
414	-100	-50.0	2	7206
415	-102	-25.5	4	7210
416	-102	-25.5	4	7214
417	-114	-7.125	16	7230
418	-100	-50.0	2	7232
419	-101	-33.666666666666664	3	7235
420	-36	-0.9230769230769231	39	7274
421	-100	-50.0	2	7276
422	-129	-4.161290322580645	31	7307
423	-112	-8.0	14	7321
424	-170	-2.361111111111111	72	7393
425	-127	-4.379310344827586	29	7422
426	-135	-3.6486486486486487	37	7459
427	-100	-50.0	2	7461
428	-236	-1.710144927536232	138	7599
429	-100	-50.0	2	7601
430	-102	-25.5	4	7605
431	-102	-25.5	4	7609
432	-100	-50.0	2	7611
433	-108	-10.8	10	7621
434	-100	-50.0	2	7623
435	-100	-50.0	2	7625
436	-115	-6.764705882352941	17	7642
437	-43	-0.9347826086956522	46	7688
438	-100	-50.0	2	7690
439	-124	-4.769230769230769	26	7716
440	-100	-50.0	2	7718
441	-129	-4.161290322580645	31	7749
442	-118	-5.9	20	7769
443	-160	-2.5806451612903225	62	7831
444	-100	-50.0	2	7833
445	-106	-13.25	8	7841
446	-146	-3.0416666666666665	48	7889
447	-100	-50.0	2	7891
448	-136	-3.5789473684210527	38	7929
449	-187	-2.101123595505618	89	8018
450	-102	-25.5	4	8022
451	-100	-50.0	2	8024
452	-103	-20.6	5	8029
453	-109	-9.909090909090908	11	8040
454	-76	-0.9620253164556962	79	8119
455	-104	-17.333333333333332	6	8125
456	-181	-2.180722891566265	83	8208
457	-147	-3.0	49	8257
458	-108	-10.8	10	8267
459	-100	-50.0	2	8269
460	-204	-1.9245283018867925	106	8375
461	-100	-50.0	2	8377
462	-111	-8.538461538461538	13	8390
463	-114	-7.125	16	8406
464	-117	-6.157894736842105	19	8425
465	-100	-50.0	2	8427
466	-104	-17.333333333333332	6	8433
467	-101	-33.666666666666664	3	8436
468	-106	-13.25	8	8444
469	-100	-50.0	2	8446
470	-100	-50.0	2	8448
471	-100	-50.0	2	8450
472	-128	-4.266666666666667	30	8480
473	-100	-50.0	2	8482
474	-100	-50.0	2	8484
475	-100	-50.0	2	8486
476	-100	-50.0	2	8488
477	-144	-3.130434782608696	46	8534
478	-100	-50.0	2	8536
479	-100	-50.0	2	8538
480	-120	-5.454545454545454	22	8560
481	-100	-50.0	2	8562
482	-104	-17.333333333333332	6	8568
483	-146	-3.0416666666666665	48	8616
484	-100	-50.0	2	8618
485	-105	-15.0	7	8625
486	-133	-3.8	35	8660
487	-106	-13.25	8	8668
488	-127	-4.379310344827586	29	8697
489	-100	-50.0	2	8699
490	-100	-50.0	2	8701
491	-102	-25.5	4	8705
492	-100	-50.0	2	8707
493	-108	-10.8	10	8717
494	-116	-6.444444444444445	18	8735
495	-143	-3.1777777777777776	45	8780
496	-16	-0.8421052631578947	19	8799
497	-100	-50.0	2	8801
498	-100	-50.0	2	8803
499	-53	-0.9464285714285714	56	8859
500	-10	-0.7692307692307693	13	8872
501	-101	-33.666666666666664	3	8875
502	-110	-9.166666666666666	12	8887
503	-44	-0.9361702127659575	47	8934
504	-100	-50.0	2	8936
505	-100	-50.0	2	8938
506	-114	-7.125	16	8954
507	-141	-3.2790697674418605	43	8997
508	-112	-8.0	14	9011
509	-36	-0.9230769230769231	39	9050
510	-117	-6.157894736842105	19	9069
511	72	2.25	32	9101
512	-102	-25.5	4	9105
513	-100	-50.0	2	9107
514	-18	-0.8571428571428571	21	9128
515	-100	-50.0	2	9130
516	-125	-4.62962962962963	27	9157
517	-104	-17.333333333333332	6	9163
518	-29	-0.90625	32	9195
519	-107	-11.88888888888889	9	9204
520	-141	-3.2790697674418605	43	9247
521	-100	-50.0	2	9249
522	-100	-50.0	2	9251
523	-100	-50.0	2	9253
524	-103	-20.6	5	9258
525	-101	-33.666666666666664	3	9261
526	-100	-50.0	2	9263
527	-108	-10.8	10	9273
528	-105	-15.0	7	9280
529	-101	-33.666666666666664	3	9283
530	-65	-0.9558823529411765	68	9351
531	-118	-5.9	20	9371
532	-161	-2.5555555555555554	63	9434
533	-154	-2.75	56	9490
534	-100	-50.0	2	9492
535	-105	-15.0	7	9499
536	-118	-5.9	20	9519
537	-100	-50.0	2	9521
538	-103	-20.6	5	9526
539	-122	-5.083333333333333	24	9550
540	-3	-0.5	6	9556
541	-40	-0.9302325581395349	43	9599
542	-100	-50.0	2	9601
