Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
62	-13	-1.0	13	976	62	-13	-1.0	13	976	62	-13	-1.0	13	976	62	-13	-1.0	13	976	62	-13	-1.0	13	976	62	-13	-1.0	13	976	62	-13	-1.0	13	976	62	-13	-1.0	13	976
63	-13	-1.0	13	989	63	-13	-1.0	13	989	63	-13	-1.0	13	989	63	-13	-1.0	13	989	63	-13	-1.0	13	989	63	-13	-1.0	13	989	63	-13	-1.0	13	989	63	-13	-1.0	13	989
64	-17	-1.0	17	1006	64	-17	-1.0	17	1006	64	-17	-1.0	17	1006	64	-17	-1.0	17	1006	64	-17	-1.0	17	1006	64	-17	-1.0	17	1006	64	-17	-1.0	17	1006	64	-17	-1.0	17	1006
65	-117	-6.5	18	1024	65	-117	-6.5	18	1024	65	-117	-6.5	18	1024	65	-117	-6.5	18	1024	65	-117	-6.5	18	1024	65	-117	-6.5	18	1024	65	-117	-6.5	18	1024	65	-117	-6.5	18	1024
66	-17	-1.0	17	1041	66	-17	-1.0	17	1041	66	-17	-1.0	17	1041	66	-17	-1.0	17	1041	66	-17	-1.0	17	1041	66	-17	-1.0	17	1041	66	-17	-1.0	17	1041	66	-17	-1.0	17	1041
67	-13	-1.0	13	1054	67	-13	-1.0	13	1054	67	-13	-1.0	13	1054	67	-13	-1.0	13	1054	67	-13	-1.0	13	1054	67	-13	-1.0	13	1054	67	-13	-1.0	13	1054	67	-13	-1.0	13	1054
68	-13	-1.0	13	1067	68	-13	-1.0	13	1067	68	-13	-1.0	13	1067	68	-13	-1.0	13	1067	68	-13	-1.0	13	1067	68	-13	-1.0	13	1067	68	-13	-1.0	13	1067	68	-13	-1.0	13	1067
69	-15	-1.0	15	1082	69	-15	-1.0	15	1082	69	-15	-1.0	15	1082	69	-15	-1.0	15	1082	69	-15	-1.0	15	1082	69	-15	-1.0	15	1082	69	-15	-1.0	15	1082	69	-15	-1.0	15	1082
70	-15	-1.0	15	1097	70	-15	-1.0	15	1097	70	-15	-1.0	15	1097	70	-15	-1.0	15	1097	70	-15	-1.0	15	1097	70	-15	-1.0	15	1097	70	-15	-1.0	15	1097	70	-15	-1.0	15	1097
71	-14	-1.0	14	1111	71	-14	-1.0	14	1111	71	-14	-1.0	14	1111	71	-14	-1.0	14	1111	71	-14	-1.0	14	1111	71	-14	-1.0	14	1111	71	-14	-1.0	14	1111	71	-14	-1.0	14	1111
