Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
58	-15	-1.0	15	2795	58	-15	-1.0	15	2795	58	-15	-1.0	15	2795	58	-15	-1.0	15	2795	58	-15	-1.0	15	2795	58	-15	-1.0	15	2795	58	-15	-1.0	15	2795	58	-15	-1.0	15	2795	58	-15	-1.0	15	2795	58	-15	-1.0	15	2795
59	-13	-1.0	13	2808	59	-13	-1.0	13	2808	59	-13	-1.0	13	2808	59	-13	-1.0	13	2808	59	-13	-1.0	13	2808	59	-13	-1.0	13	2808	59	-13	-1.0	13	2808	59	-13	-1.0	13	2808	59	-13	-1.0	13	2808	59	-13	-1.0	13	2808
60	-13	-1.0	13	2821	60	-13	-1.0	13	2821	60	-13	-1.0	13	2821	60	-13	-1.0	13	2821	60	-13	-1.0	13	2821	60	-13	-1.0	13	2821	60	-13	-1.0	13	2821	60	-13	-1.0	13	2821	60	-13	-1.0	13	2821	60	-13	-1.0	13	2821
61	-26	-1.0	26	2847	61	-26	-1.0	26	2847	61	-26	-1.0	26	2847	61	-26	-1.0	26	2847	61	-26	-1.0	26	2847	61	-26	-1.0	26	2847	61	-26	-1.0	26	2847	61	-26	-1.0	26	2847	61	-26	-1.0	26	2847	61	-26	-1.0	26	2847
62	-13	-1.0	13	2860	62	-13	-1.0	13	2860	62	-13	-1.0	13	2860	62	-13	-1.0	13	2860	62	-13	-1.0	13	2860	62	-13	-1.0	13	2860	62	-13	-1.0	13	2860	62	-13	-1.0	13	2860	62	-13	-1.0	13	2860	62	-13	-1.0	13	2860
63	-15	-1.0	15	2875	63	-15	-1.0	15	2875	63	-15	-1.0	15	2875	63	-15	-1.0	15	2875	63	-15	-1.0	15	2875	63	-15	-1.0	15	2875	63	-15	-1.0	15	2875	63	-15	-1.0	15	2875	63	-15	-1.0	15	2875	63	-15	-1.0	15	2875
64	-15	-1.0	15	2890	64	-15	-1.0	15	2890	64	-15	-1.0	15	2890	64	-15	-1.0	15	2890	64	-15	-1.0	15	2890	64	-15	-1.0	15	2890	64	-15	-1.0	15	2890	64	-15	-1.0	15	2890	64	-15	-1.0	15	2890	64	-15	-1.0	15	2890
65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911	65	-120	-5.714285714285714	21	2911
66	-13	-1.0	13	2924	66	-13	-1.0	13	2924	66	-13	-1.0	13	2924	66	-13	-1.0	13	2924	66	-13	-1.0	13	2924	66	-13	-1.0	13	2924	66	-13	-1.0	13	2924	66	-13	-1.0	13	2924	66	-13	-1.0	13	2924	66	-13	-1.0	13	2924
67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963	67	-237	-6.076923076923077	39	2963
68	-13	-1.0	13	2976	68	-13	-1.0	13	2976	68	-13	-1.0	13	2976	68	-13	-1.0	13	2976	68	-13	-1.0	13	2976	68	-13	-1.0	13	2976	68	-13	-1.0	13	2976	68	-13	-1.0	13	2976	68	-13	-1.0	13	2976	68	-13	-1.0	13	2976
69	-15	-1.0	15	2991	69	-15	-1.0	15	2991	69	-15	-1.0	15	2991	69	-15	-1.0	15	2991	69	-15	-1.0	15	2991	69	-15	-1.0	15	2991	69	-15	-1.0	15	2991	69	-15	-1.0	15	2991	69	-15	-1.0	15	2991	69	-15	-1.0	15	2991
70	-15	-1.0	15	3006	70	-15	-1.0	15	3006	70	-15	-1.0	15	3006	70	-15	-1.0	15	3006	70	-15	-1.0	15	3006	70	-15	-1.0	15	3006	70	-15	-1.0	15	3006	70	-15	-1.0	15	3006	70	-15	-1.0	15	3006	70	-15	-1.0	15	3006
71	-15	-1.0	15	3021	71	-15	-1.0	15	3021	71	-15	-1.0	15	3021	71	-15	-1.0	15	3021	71	-15	-1.0	15	3021	71	-15	-1.0	15	3021	71	-15	-1.0	15	3021	71	-15	-1.0	15	3021	71	-15	-1.0	15	3021	71	-15	-1.0	15	3021
72	-123	-5.125	24	3045	72	-123	-5.125	24	3045	72	-123	-5.125	24	3045	72	-123	-5.125	24	3045	72	-123	-5.125	24	3045	72	-123	-5.125	24	3045	72	-123	-5.125	24	3045	72	-123	-5.125	24	3045	72	-123	-5.125	24	3045	72	-123	-5.125	24	3045
73	-13	-1.0	13	3058	73	-13	-1.0	13	3058	73	-13	-1.0	13	3058	73	-13	-1.0	13	3058	73	-13	-1.0	13	3058	73	-13	-1.0	13	3058	73	-13	-1.0	13	3058	73	-13	-1.0	13	3058	73	-13	-1.0	13	3058	73	-13	-1.0	13	3058
74	-20	-1.0	20	3078	74	-20	-1.0	20	3078	74	-20	-1.0	20	3078	74	-20	-1.0	20	3078	74	-20	-1.0	20	3078	74	-20	-1.0	20	3078	74	-20	-1.0	20	3078	74	-20	-1.0	20	3078	74	-20	-1.0	20	3078	74	-20	-1.0	20	3078
75	-117	-6.5	18	3096	75	-117	-6.5	18	3096	75	-117	-6.5	18	3096	75	-117	-6.5	18	3096	75	-117	-6.5	18	3096	75	-117	-6.5	18	3096	75	-117	-6.5	18	3096	75	-117	-6.5	18	3096	75	-117	-6.5	18	3096	75	-117	-6.5	18	3096
