Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
150	-102	-25.5	4	2345	150	-102	-25.5	4	2345	150	-102	-25.5	4	2345	150	-102	-25.5	4	2345
151	-110	-9.166666666666666	12	2357	151	-110	-9.166666666666666	12	2357	151	-110	-9.166666666666666	12	2357	151	-110	-9.166666666666666	12	2357
152	-38	-0.926829268292683	41	2398	152	-38	-0.926829268292683	41	2398	152	-38	-0.926829268292683	41	2398	152	-38	-0.926829268292683	41	2398
153	-118	-5.9	20	2418	153	-118	-5.9	20	2418	153	-118	-5.9	20	2418	153	-118	-5.9	20	2418
154	-9	-0.75	12	2430	154	-9	-0.75	12	2430	154	-9	-0.75	12	2430	154	-9	-0.75	12	2430
155	-100	-50.0	2	2432	155	-100	-50.0	2	2432	155	-100	-50.0	2	2432	155	-100	-50.0	2	2432
156	-115	-6.764705882352941	17	2449	156	-115	-6.764705882352941	17	2449	156	-115	-6.764705882352941	17	2449	156	-115	-6.764705882352941	17	2449
157	-100	-50.0	2	2451	157	-100	-50.0	2	2451	157	-100	-50.0	2	2451	157	-100	-50.0	2	2451
158	-104	-17.333333333333332	6	2457	158	-104	-17.333333333333332	6	2457	158	-104	-17.333333333333332	6	2457	158	-104	-17.333333333333332	6	2457
159	-115	-6.764705882352941	17	2474	159	-115	-6.764705882352941	17	2474	159	-115	-6.764705882352941	17	2474	159	-115	-6.764705882352941	17	2474
160	-101	-33.666666666666664	3	2477	160	-101	-33.666666666666664	3	2477	160	-101	-33.666666666666664	3	2477	160	-101	-33.666666666666664	3	2477
161	-145	-3.0851063829787235	47	2524	161	-145	-3.0851063829787235	47	2524	161	-145	-3.0851063829787235	47	2524	161	-145	-3.0851063829787235	47	2524
162	-101	-33.666666666666664	3	2527	162	-101	-33.666666666666664	3	2527	162	-101	-33.666666666666664	3	2527	162	-101	-33.666666666666664	3	2527
163	-101	-33.666666666666664	3	2530	163	-101	-33.666666666666664	3	2530	163	-101	-33.666666666666664	3	2530	163	-101	-33.666666666666664	3	2530
164	-167	-2.420289855072464	69	2599	164	-167	-2.420289855072464	69	2599	164	-167	-2.420289855072464	69	2599	164	-167	-2.420289855072464	69	2599
165	-100	-50.0	2	2601	165	-100	-50.0	2	2601	165	-100	-50.0	2	2601	165	-100	-50.0	2	2601
166	-100	-50.0	2	2603	166	-100	-50.0	2	2603	166	-100	-50.0	2	2603	166	-100	-50.0	2	2603
167	-138	-3.45	40	2643	167	-138	-3.45	40	2643	167	-138	-3.45	40	2643	167	-138	-3.45	40	2643
