Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
129	-15	-1.0	15	2258	129	-15	-1.0	15	2258	129	-15	-1.0	15	2258	129	-15	-1.0	15	2258	129	-15	-1.0	15	2258
130	-19	-1.0	19	2277	130	-19	-1.0	19	2277	130	-19	-1.0	19	2277	130	-19	-1.0	19	2277	130	-19	-1.0	19	2277
131	-13	-1.0	13	2290	131	-13	-1.0	13	2290	131	-13	-1.0	13	2290	131	-13	-1.0	13	2290	131	-13	-1.0	13	2290
132	-15	-1.0	15	2305	132	-15	-1.0	15	2305	132	-15	-1.0	15	2305	132	-15	-1.0	15	2305	132	-15	-1.0	15	2305
133	-13	-1.0	13	2318	133	-13	-1.0	13	2318	133	-13	-1.0	13	2318	133	-13	-1.0	13	2318	133	-13	-1.0	13	2318
134	-15	-1.0	15	2333	134	-15	-1.0	15	2333	134	-15	-1.0	15	2333	134	-15	-1.0	15	2333	134	-15	-1.0	15	2333
135	-15	-1.0	15	2348	135	-15	-1.0	15	2348	135	-15	-1.0	15	2348	135	-15	-1.0	15	2348	135	-15	-1.0	15	2348
136	-13	-1.0	13	2361	136	-13	-1.0	13	2361	136	-13	-1.0	13	2361	136	-13	-1.0	13	2361	136	-13	-1.0	13	2361
137	-16	-1.0	16	2377	137	-16	-1.0	16	2377	137	-16	-1.0	16	2377	137	-16	-1.0	16	2377	137	-16	-1.0	16	2377
138	-119	-5.95	20	2397	138	-119	-5.95	20	2397	138	-119	-5.95	20	2397	138	-119	-5.95	20	2397	138	-119	-5.95	20	2397
139	-15	-1.0	15	2412	139	-15	-1.0	15	2412	139	-15	-1.0	15	2412	139	-15	-1.0	15	2412	139	-15	-1.0	15	2412
140	-17	-1.0	17	2429	140	-17	-1.0	17	2429	140	-17	-1.0	17	2429	140	-17	-1.0	17	2429	140	-17	-1.0	17	2429
141	-120	-5.714285714285714	21	2450	141	-120	-5.714285714285714	21	2450	141	-120	-5.714285714285714	21	2450	141	-120	-5.714285714285714	21	2450	141	-120	-5.714285714285714	21	2450
142	-15	-1.0	15	2465	142	-15	-1.0	15	2465	142	-15	-1.0	15	2465	142	-15	-1.0	15	2465	142	-15	-1.0	15	2465
143	-13	-1.0	13	2478	143	-13	-1.0	13	2478	143	-13	-1.0	13	2478	143	-13	-1.0	13	2478	143	-13	-1.0	13	2478
144	-21	-1.0	21	2499	144	-21	-1.0	21	2499	144	-21	-1.0	21	2499	144	-21	-1.0	21	2499	144	-21	-1.0	21	2499
145	-15	-1.0	15	2514	145	-15	-1.0	15	2514	145	-15	-1.0	15	2514	145	-15	-1.0	15	2514	145	-15	-1.0	15	2514
146	-13	-1.0	13	2527	146	-13	-1.0	13	2527	146	-13	-1.0	13	2527	146	-13	-1.0	13	2527	146	-13	-1.0	13	2527
147	-17	-1.0	17	2544	147	-17	-1.0	17	2544	147	-17	-1.0	17	2544	147	-17	-1.0	17	2544	147	-17	-1.0	17	2544
148	-116	-6.823529411764706	17	2561	148	-116	-6.823529411764706	17	2561	148	-116	-6.823529411764706	17	2561	148	-116	-6.823529411764706	17	2561	148	-116	-6.823529411764706	17	2561
149	-14	-1.0	14	2575	149	-14	-1.0	14	2575	149	-14	-1.0	14	2575	149	-14	-1.0	14	2575	149	-14	-1.0	14	2575
150	-14	-1.0	14	2589	150	-14	-1.0	14	2589	150	-14	-1.0	14	2589	150	-14	-1.0	14	2589	150	-14	-1.0	14	2589
151	-122	-5.304347826086956	23	2612	151	-122	-5.304347826086956	23	2612	151	-122	-5.304347826086956	23	2612	151	-122	-5.304347826086956	23	2612	151	-122	-5.304347826086956	23	2612
152	-13	-1.0	13	2625	152	-13	-1.0	13	2625	152	-13	-1.0	13	2625	152	-13	-1.0	13	2625	152	-13	-1.0	13	2625
153	-121	-5.5	22	2647	153	-121	-5.5	22	2647	153	-121	-5.5	22	2647	153	-121	-5.5	22	2647	153	-121	-5.5	22	2647
154	-15	-1.0	15	2662	154	-15	-1.0	15	2662	154	-15	-1.0	15	2662	154	-15	-1.0	15	2662	154	-15	-1.0	15	2662
155	-13	-1.0	13	2675	155	-13	-1.0	13	2675	155	-13	-1.0	13	2675	155	-13	-1.0	13	2675	155	-13	-1.0	13	2675
156	-22	-1.0	22	2697	156	-22	-1.0	22	2697	156	-22	-1.0	22	2697	156	-22	-1.0	22	2697	156	-22	-1.0	22	2697
157	-18	-1.0	18	2715	157	-18	-1.0	18	2715	157	-18	-1.0	18	2715	157	-18	-1.0	18	2715	157	-18	-1.0	18	2715
158	-116	-6.823529411764706	17	2732	158	-116	-6.823529411764706	17	2732	158	-116	-6.823529411764706	17	2732	158	-116	-6.823529411764706	17	2732	158	-116	-6.823529411764706	17	2732
159	-14	-1.0	14	2746	159	-14	-1.0	14	2746	159	-14	-1.0	14	2746	159	-14	-1.0	14	2746	159	-14	-1.0	14	2746
160	-19	-1.0	19	2765	160	-19	-1.0	19	2765	160	-19	-1.0	19	2765	160	-19	-1.0	19	2765	160	-19	-1.0	19	2765
161	-13	-1.0	13	2778	161	-13	-1.0	13	2778	161	-13	-1.0	13	2778	161	-13	-1.0	13	2778	161	-13	-1.0	13	2778
162	-127	-4.535714285714286	28	2806	162	-127	-4.535714285714286	28	2806	162	-127	-4.535714285714286	28	2806	162	-127	-4.535714285714286	28	2806	162	-127	-4.535714285714286	28	2806
163	-17	-1.0	17	2823	163	-17	-1.0	17	2823	163	-17	-1.0	17	2823	163	-17	-1.0	17	2823	163	-17	-1.0	17	2823
164	-13	-1.0	13	2836	164	-13	-1.0	13	2836	164	-13	-1.0	13	2836	164	-13	-1.0	13	2836	164	-13	-1.0	13	2836
165	-224	-8.615384615384615	26	2862	165	-224	-8.615384615384615	26	2862	165	-224	-8.615384615384615	26	2862	165	-224	-8.615384615384615	26	2862	165	-224	-8.615384615384615	26	2862
166	-15	-1.0	15	2877	166	-15	-1.0	15	2877	166	-15	-1.0	15	2877	166	-15	-1.0	15	2877	166	-15	-1.0	15	2877
167	-13	-1.0	13	2890	167	-13	-1.0	13	2890	167	-13	-1.0	13	2890	167	-13	-1.0	13	2890	167	-13	-1.0	13	2890
168	-15	-1.0	15	2905	168	-15	-1.0	15	2905	168	-15	-1.0	15	2905	168	-15	-1.0	15	2905	168	-15	-1.0	15	2905
169	-13	-1.0	13	2918	169	-13	-1.0	13	2918	169	-13	-1.0	13	2918	169	-13	-1.0	13	2918	169	-13	-1.0	13	2918
